item,status,evidence
tab:cross_subject_main,ready,36 numeric fragments match rows in table_allfold_final.csv
tab:sota_baselines,ready,60 numeric fragments match rows in table_phase2_sota_graph_baselines.csv
tab:adjacency_ablation,ready,30 numeric fragments match rows in table_adjacency_ablation.csv
tab:roi_token_controls,ready,50 numeric fragments match rows in table_roi_token_controls.csv
tab:adjacency_perturbation,ready,50 numeric fragments match rows in table_adjacency_perturbation.csv
tab:edge_bias_followup,ready,24 numeric fragments match rows in table_edge_bias_followup.csv
tab:single_ref_matched,ready,42 numeric fragments match rows in single_ref_matched_summary.csv
tab:single_ref_retrained,ready,42 numeric fragments match rows in single_ref_matched_allseed_summary.csv
tab:heldout,ready,48 numeric fragments match rows in table_heldout_image.csv
tab:hardneg,ready,33 numeric fragments match rows in table_hard_negative_allfold.csv
