setting,comparison,metric,n,mean_diff,std_diff,bootstrap_ci_low,bootstrap_ci_high,paired_t_p
main_allfold,Gated ReGraph/BNT+CLIP - ROI-MLP+CLIP,AUROC,24,0.009489177124468557,0.008620906282035056,0.006157710994349384,0.012959855238563368,1.7717360959704455e-05
main_allfold,Gated ReGraph/BNT+CLIP - ROI-MLP+CLIP,AUPRC,24,0.01682435723395731,0.010352767442308487,0.0128042955031892,0.020917973843410525,4.660164405442356e-08
main_allfold,Gated ReGraph/BNT+CLIP - ROI-MLP+CLIP,R@5,24,0.011702116464491536,0.011027458678627084,0.007545870606791491,0.01620249974063018,2.8533823629015073e-05
main_allfold,Gated ReGraph/BNT+CLIP - ROI-MLP+CLIP,MRR,24,0.005932440499853888,0.006548960954955799,0.0034766131936913264,0.008619021688863717,0.00018904417079833625
main_allfold,Gated ReGraph/BNT+CLIP - ROI-MLP+CLIP,image_R@5,24,0.011787583188193613,0.011721951440681996,0.00723575822163538,0.016614265161884943,5.5985647420603795e-05
main_allfold,Gated ReGraph/BNT+CLIP - ROI-MLP+CLIP,brain_R@5,24,0.015876668998898346,0.010924456292492892,0.011522793612134808,0.020033764448484037,2.982827082318697e-07
main_allfold,Gated ReGraph/BNT+CLIP - ROI-MLP+CLIP,brain_MRR,24,0.010471439413271721,0.005184308537240352,0.008446015113719556,0.012516322319191165,9.323712387174547e-10
main_allfold,Gated ReGraph/BNT+CLIP - Flat ReGraph+CLIP,AUROC,24,0.004856161695911021,0.01298961572405355,-0.00011615132657307874,0.010160188662446955,0.08001316561228755
main_allfold,Gated ReGraph/BNT+CLIP - Flat ReGraph+CLIP,AUPRC,24,0.004259624019262188,0.01379960760485889,-0.0012246839537325535,0.009661276667417321,0.14410198470597668
main_allfold,Gated ReGraph/BNT+CLIP - Flat ReGraph+CLIP,R@5,24,0.003478703771047835,0.007833768832883621,0.00045173819007819394,0.006507347802322365,0.040124515871807646
main_allfold,Gated ReGraph/BNT+CLIP - Flat ReGraph+CLIP,MRR,24,0.0017784992863015593,0.005705514938644263,-0.0004988472751522808,0.004014050942941393,0.1403748232769681
main_allfold,Gated ReGraph/BNT+CLIP - Flat ReGraph+CLIP,image_R@5,24,0.0034500388675384294,0.00882370501372362,1.5852842328416283e-05,0.007029930129133339,0.06794534338254356
main_allfold,Gated ReGraph/BNT+CLIP - Flat ReGraph+CLIP,brain_R@5,24,0.002946735804253997,0.00946088318660144,-0.0005731501090458433,0.006753593139416385,0.1406792244290506
main_allfold,Gated ReGraph/BNT+CLIP - Flat ReGraph+CLIP,brain_MRR,24,0.00237204629799917,0.00580796864470925,0.000206487627016654,0.004752537218389821,0.05735197981744751
hard_negative,Gated ReGraph/BNT+CLIP - ROI-MLP+CLIP,AUROC,24,0.006352318057692842,0.010490640677404647,0.0022472452516024565,0.010390263466926467,0.006913238337624284
hard_negative,Gated ReGraph/BNT+CLIP - ROI-MLP+CLIP,AUPRC,24,0.010931572929109781,0.011766928337514698,0.006203323552841432,0.01534428717992418,0.00014246792475338044
hard_negative,Gated ReGraph/BNT+CLIP - ROI-MLP+CLIP,R@5,24,0.010166246781098294,0.011433662363067759,0.005662216744854292,0.014462884923666007,0.00023186889354737298
hard_negative,Gated ReGraph/BNT+CLIP - ROI-MLP+CLIP,MRR,24,0.005044336484881809,0.006641820880910455,0.0024317310709658516,0.007687432435402484,0.0011226653591514314
hard_negative,Gated ReGraph/BNT+CLIP - ROI-MLP+CLIP,image_R@5,24,0.009566032775124309,0.010595725821709655,0.005536735538460846,0.013795450777578874,0.00019619909872502434
hard_negative,Gated ReGraph/BNT+CLIP - ROI-MLP+CLIP,brain_R@5,24,0.008372086402898339,0.011952199603653684,0.0038312260859780637,0.013199242645164734,0.0022773479901685625
hard_negative,Gated ReGraph/BNT+CLIP - ROI-MLP+CLIP,brain_MRR,24,0.0050220578934700826,0.0069967314540040435,0.0022636298777471125,0.007728604495446935,0.0018527018144567997
hard_negative,Gated ReGraph/BNT+CLIP - Flat ReGraph+CLIP,AUROC,24,0.005655774290441558,0.009130664954798088,0.0018046111907123554,0.00915426084046459,0.005891575725623443
hard_negative,Gated ReGraph/BNT+CLIP - Flat ReGraph+CLIP,AUPRC,24,0.007958651144222562,0.009645193991675603,0.003954671759443651,0.011381591476827461,0.0005063597899685703
hard_negative,Gated ReGraph/BNT+CLIP - Flat ReGraph+CLIP,R@5,24,0.005361374508243883,0.009323746023166452,0.0017449006813574134,0.00898000798485999,0.009779440658323025
hard_negative,Gated ReGraph/BNT+CLIP - Flat ReGraph+CLIP,MRR,24,0.0027584342581945726,0.005798149345688849,0.0005069854013613693,0.005046415383394557,0.028901016139210683
hard_negative,Gated ReGraph/BNT+CLIP - Flat ReGraph+CLIP,image_R@5,24,0.006443097774443841,0.012016039266829408,0.0018142918211293082,0.01129961007515406,0.015073470983607033
hard_negative,Gated ReGraph/BNT+CLIP - Flat ReGraph+CLIP,brain_R@5,24,0.005146670328797361,0.010427896446239905,0.001209878055052496,0.00939226912623762,0.023936214812494815
hard_negative,Gated ReGraph/BNT+CLIP - Flat ReGraph+CLIP,brain_MRR,24,0.003925070345073609,0.005940690050077459,0.0016041558602700907,0.006234275380654568,0.0036432939589334263
heldout_image_available_raw,Gated ReGraph/BNT+CLIP - ROI-MLP+CLIP,AUROC,24,0.000693983761571218,0.019122103573202355,-0.006768540627780439,0.008077371161418859,0.8604406702429205
heldout_image_available_raw,Gated ReGraph/BNT+CLIP - ROI-MLP+CLIP,AUPRC,24,0.004631323623231945,0.020205143650643395,-0.0031172115314493155,0.012669512264880512,0.2730568886956096
heldout_image_available_raw,Gated ReGraph/BNT+CLIP - ROI-MLP+CLIP,R@5,24,0.01840852268933647,0.029062381944863717,0.0068204202754104165,0.029537709852068342,0.00501084681426974
heldout_image_available_raw,Gated ReGraph/BNT+CLIP - ROI-MLP+CLIP,MRR,24,0.01014700937043148,0.018182836208475887,0.002837844209606385,0.01716659705607458,0.011830904216095674
heldout_image_available_raw,Gated ReGraph/BNT+CLIP - ROI-MLP+CLIP,image_R@5,24,0.016789572539066478,0.02784965720445327,0.005997327300019599,0.027875353801121015,0.007126954223248684
heldout_image_available_raw,Gated ReGraph/BNT+CLIP - ROI-MLP+CLIP,brain_R@5,24,0.019084577326458775,0.031157155825539934,0.007482221171138347,0.03189254391658919,0.006379032690757781
heldout_image_available_raw,Gated ReGraph/BNT+CLIP - ROI-MLP+CLIP,brain_MRR,24,0.013226126269371636,0.018167233097822772,0.006391571938255916,0.02061374236117795,0.0016388545383484593
heldout_image_available_raw,Gated ReGraph/BNT+CLIP - Flat ReGraph+CLIP,AUROC,24,0.004169809337176644,0.019786786860959374,-0.0033924951255525906,0.012321984515146316,0.3126207742755315
heldout_image_available_raw,Gated ReGraph/BNT+CLIP - Flat ReGraph+CLIP,AUPRC,24,0.0024446084726530656,0.021445436808714736,-0.005802603988585459,0.010807607896840564,0.581937275847625
heldout_image_available_raw,Gated ReGraph/BNT+CLIP - Flat ReGraph+CLIP,R@5,24,0.008068728850607625,0.02810205206302448,-0.002525888930831296,0.01968686665947015,0.17291272583358042
heldout_image_available_raw,Gated ReGraph/BNT+CLIP - Flat ReGraph+CLIP,MRR,24,0.004566795890279008,0.015252111403675467,-0.0012783860297501338,0.010767245590183145,0.15595657578094588
heldout_image_available_raw,Gated ReGraph/BNT+CLIP - Flat ReGraph+CLIP,image_R@5,24,0.009496910834179544,0.025080347953058222,-0.00011233563907487282,0.019621055427413086,0.07645321954150255
heldout_image_available_raw,Gated ReGraph/BNT+CLIP - Flat ReGraph+CLIP,brain_R@5,24,0.009020372832443906,0.023624730960513582,-0.000261419004780699,0.018356575422285117,0.0741903256591727
