fold,split,delta,rank,roi_i,roi_j,delta_value,abs_delta_value,direction
fold_01,train,delta_A_21,1,22,65,0.1047646775841713,0.1047646775841713,increase
fold_01,train,delta_A_21,2,20,169,-0.09844239056110382,0.09844239056110382,decrease
fold_01,train,delta_A_21,3,71,108,-0.0980629175901413,0.0980629175901413,decrease
fold_01,train,delta_A_21,4,8,84,-0.09755925834178925,0.09755925834178925,decrease
fold_01,train,delta_A_21,5,26,55,-0.09393715858459473,0.09393715858459473,decrease
fold_01,train,delta_A_21,6,15,178,0.09306717664003372,0.09306717664003372,increase
fold_01,train,delta_A_21,7,78,129,0.0926922932267189,0.0926922932267189,increase
fold_01,train,delta_A_21,8,19,151,0.09230221807956696,0.09230221807956696,increase
fold_01,train,delta_A_21,9,10,178,0.08955083787441254,0.08955083787441254,increase
fold_01,train,delta_A_21,10,75,115,0.08947829902172089,0.08947829902172089,increase
fold_01,train,delta_A_31,1,10,113,0.15651193261146545,0.15651193261146545,increase
fold_01,train,delta_A_31,2,71,134,0.14437632262706757,0.14437632262706757,increase
fold_01,train,delta_A_31,3,20,49,0.14429971575737,0.14429971575737,increase
fold_01,train,delta_A_31,4,112,145,0.14350828528404236,0.14350828528404236,increase
fold_01,train,delta_A_31,5,10,107,0.14170603454113007,0.14170603454113007,increase
fold_01,train,delta_A_31,6,112,142,0.13950090110301971,0.13950090110301971,increase
fold_01,train,delta_A_31,7,10,108,0.137806698679924,0.137806698679924,increase
fold_01,train,delta_A_31,8,93,111,-0.1372312307357788,0.1372312307357788,decrease
fold_01,train,delta_A_31,9,15,178,0.13566213846206665,0.13566213846206665,increase
fold_01,train,delta_A_31,10,78,130,0.1341542899608612,0.1341542899608612,increase
fold_01,train,delta_A_32,1,112,142,0.11839649826288223,0.11839649826288223,increase
fold_01,train,delta_A_32,2,91,135,-0.11586886644363403,0.11586886644363403,decrease
fold_01,train,delta_A_32,3,35,168,0.11451413482427597,0.11451413482427597,increase
fold_01,train,delta_A_32,4,36,72,0.11064451932907104,0.11064451932907104,increase
fold_01,train,delta_A_32,5,112,145,0.1106071025133133,0.1106071025133133,increase
fold_01,train,delta_A_32,6,78,112,0.11021865904331207,0.11021865904331207,increase
fold_01,train,delta_A_32,7,36,78,0.10883110761642456,0.10883110761642456,increase
fold_01,train,delta_A_32,8,112,154,0.10832531005144119,0.10832531005144119,increase
fold_01,train,delta_A_32,9,71,134,0.10784203559160233,0.10784203559160233,increase
