fold,split,delta,rank,roi_i,roi_j,delta_value,abs_delta_value,direction
fold_01,train,delta_A_21,1,22,65,0.1047646775841713,0.1047646775841713,increase
fold_01,train,delta_A_21,2,20,169,-0.0984423905611038,0.0984423905611038,decrease
fold_01,train,delta_A_21,3,71,108,-0.0980629175901413,0.0980629175901413,decrease
fold_01,train,delta_A_21,4,8,84,-0.0975592583417892,0.0975592583417892,decrease
fold_01,train,delta_A_21,5,26,55,-0.0939371585845947,0.0939371585845947,decrease
fold_01,train,delta_A_21,6,15,178,0.0930671766400337,0.0930671766400337,increase
fold_01,train,delta_A_21,7,78,129,0.0926922932267189,0.0926922932267189,increase
fold_01,train,delta_A_21,8,19,151,0.0923022180795669,0.0923022180795669,increase
fold_01,train,delta_A_21,9,10,178,0.0895508378744125,0.0895508378744125,increase
fold_01,train,delta_A_21,10,75,115,0.0894782990217208,0.0894782990217208,increase
fold_04,train,delta_A_21,1,71,108,-0.1107979565858841,0.1107979565858841,decrease
fold_04,train,delta_A_21,2,88,102,-0.1007751524448394,0.1007751524448394,decrease
fold_04,train,delta_A_21,3,20,169,-0.0984927639365196,0.0984927639365196,decrease
fold_04,train,delta_A_21,4,19,151,0.0917394608259201,0.0917394608259201,increase
fold_04,train,delta_A_21,5,76,102,-0.0903002768754959,0.0903002768754959,decrease
fold_04,train,delta_A_21,6,77,97,-0.0889174789190292,0.0889174789190292,decrease
fold_04,train,delta_A_21,7,43,158,-0.0882890820503234,0.0882890820503234,decrease
fold_04,train,delta_A_21,8,67,77,-0.0859963521361351,0.0859963521361351,decrease
fold_04,train,delta_A_21,9,21,151,0.0859703570604324,0.0859703570604324,increase
fold_04,train,delta_A_21,10,30,74,-0.0855878740549087,0.0855878740549087,decrease
fold_01,train,delta_A_31,1,10,113,0.1565119326114654,0.1565119326114654,increase
fold_01,train,delta_A_31,2,71,134,0.1443763226270675,0.1443763226270675,increase
fold_01,train,delta_A_31,3,20,49,0.14429971575737,0.14429971575737,increase
fold_01,train,delta_A_31,4,112,145,0.1435082852840423,0.1435082852840423,increase
fold_01,train,delta_A_31,5,10,107,0.14170603454113,0.14170603454113,increase
fold_01,train,delta_A_31,6,112,142,0.1395009011030197,0.1395009011030197,increase
fold_01,train,delta_A_31,7,10,108,0.137806698679924,0.137806698679924,increase
fold_01,train,delta_A_31,8,93,111,-0.1372312307357788,0.1372312307357788,decrease
fold_01,train,delta_A_31,9,15,178,0.1356621384620666,0.1356621384620666,increase
fold_01,train,delta_A_31,10,78,130,0.1341542899608612,0.1341542899608612,increase
fold_04,train,delta_A_31,1,10,113,0.1566826403141021,0.1566826403141021,increase
fold_04,train,delta_A_31,2,112,142,0.150953859090805,0.150953859090805,increase
fold_04,train,delta_A_31,3,112,145,0.1480396091938018,0.1480396091938018,increase
fold_04,train,delta_A_31,4,10,107,0.1431457847356796,0.1431457847356796,increase
fold_04,train,delta_A_31,5,20,49,0.1411717683076858,0.1411717683076858,increase
fold_04,train,delta_A_31,6,19,49,0.1386264562606811,0.1386264562606811,increase
fold_04,train,delta_A_31,7,91,111,-0.1382313221693039,0.1382313221693039,decrease
fold_04,train,delta_A_31,8,10,114,0.1343032121658325,0.1343032121658325,increase
fold_04,train,delta_A_31,9,10,108,0.1311132311820984,0.1311132311820984,increase
fold_04,train,delta_A_31,10,113,145,0.1254503428936004,0.1254503428936004,increase
