fold,subject,nsdId,repeat_1,repeat_2,raw_cosine_same_image
fold_01,1,2950,1,1,0.9299308061599731
fold_01,1,2950,2,2,0.9317886829376221
fold_01,1,2950,3,3,0.9311285018920898
fold_01,1,2990,1,1,0.9278493523597717
fold_01,1,2990,2,2,0.9359840154647827
fold_01,1,2990,3,3,0.8639933466911316
fold_01,1,3049,1,1,0.9216813445091248
fold_01,1,3049,2,2,0.9305658340454102
fold_01,1,3049,3,3,0.9231845140457153
fold_01,1,3077,1,1,0.9456484317779541
fold_01,1,3077,2,2,0.9307562112808228
fold_01,1,3077,3,3,0.9158563613891602
fold_01,1,3146,1,1,0.9123704433441162
fold_01,1,3146,2,2,0.9374319314956665
fold_01,1,3146,3,3,0.9253365993499756
fold_01,1,3157,1,1,0.9420050978660583
fold_01,1,3157,2,2,0.9421674013137817
fold_01,1,3157,3,3,0.9267514944076538
fold_01,1,3164,1,1,0.9412333369255066
fold_01,1,3164,2,2,0.9343764185905457
fold_01,1,3164,3,3,0.9177800416946411
fold_01,1,3171,1,1,0.9303401112556458
fold_01,1,3171,2,2,0.9411372542381287
fold_01,1,3171,3,3,0.9482783675193787
fold_01,1,3181,1,1,0.9002305865287781
fold_01,1,3181,2,2,0.9049895405769348
fold_01,1,3181,3,3,0.8946964740753174
fold_01,1,3386,1,1,0.9326735734939575
fold_01,1,3386,2,2,0.9159954190254211
fold_01,1,3386,3,3,0.9347307085990906
fold_01,1,3434,1,1,0.9084174633026123
fold_01,1,3434,2,2,0.9213171601295471
fold_01,1,3434,3,3,0.9322060942649841
fold_01,1,3449,1,1,0.9426743984222412
fold_01,1,3449,2,2,0.9445365071296692
fold_01,1,3449,3,3,0.9314413070678711
fold_01,1,3489,1,1,0.9255509972572327
fold_01,1,3489,2,2,0.9186482429504395
fold_01,1,3489,3,3,0.9353605508804321
fold_01,1,3626,1,1,0.9531571269035339
fold_01,1,3626,2,2,0.9281197190284729
fold_01,1,3626,3,3,0.9293159246444702
fold_01,1,3682,1,1,0.941970944404602
fold_01,1,3682,2,2,0.9306371808052063
fold_01,1,3682,3,3,0.9362086057662964
fold_01,1,3687,1,1,0.9411424398422241
fold_01,1,3687,2,2,0.9222569465637207
fold_01,1,3687,3,3,0.9275123476982117
fold_01,1,3729,1,1,0.9213321805000305
fold_01,1,3729,2,2,0.8940137028694153
fold_01,1,3729,3,3,0.8843795657157898
fold_01,1,3809,1,1,0.9240569472312927
fold_01,1,3809,2,2,0.9352646470069885
fold_01,1,3809,3,3,0.9162842631340027
fold_01,1,3842,1,1,0.9332615733146667
fold_01,1,3842,2,2,0.9138821959495544
fold_01,1,3842,3,3,0.9160847663879395
fold_01,1,3847,1,1,0.9400819540023804
fold_01,1,3847,2,2,0.948743999004364
fold_01,1,3847,3,3,0.9437545537948608
fold_01,1,3856,1,1,0.9385774731636047
fold_01,1,3856,2,2,0.9511856436729431
fold_01,1,3856,3,3,0.9359431266784668
fold_01,1,3913,1,1,0.9445462226867676
fold_01,1,3913,2,2,0.9289682507514954
fold_01,1,3913,3,3,0.9255322217941284
fold_01,1,3951,1,1,0.9287100434303284
fold_01,1,3951,2,2,0.9107338786125183
fold_01,1,3951,3,3,0.9305707216262817
fold_01,1,4051,1,1,0.920497715473175
fold_01,1,4051,2,2,0.9379621148109436
fold_01,1,4051,3,3,0.9285765886306763
fold_01,1,4058,1,1,0.9381791949272156
fold_01,1,4058,2,2,0.9244916439056396
fold_01,1,4058,3,3,0.8924127817153931
fold_01,1,4129,1,1,0.9350402355194092
fold_01,1,4129,2,2,0.9295678734779358
fold_01,1,4129,3,3,0.9409613013267517
fold_01,1,4156,1,1,0.942132294178009
fold_01,1,4156,2,2,0.9082198143005371
fold_01,1,4156,3,3,0.9111572504043579
fold_01,1,4249,1,1,0.9169621467590332
fold_01,1,4249,2,2,0.9342430830001831
fold_01,1,4249,3,3,0.942664384841919
fold_01,1,4423,1,1,0.9425530433654785
fold_01,1,4423,2,2,0.9275370240211487
fold_01,1,4423,3,3,0.9311940670013428
fold_01,1,4436,1,1,0.9042385220527649
fold_01,1,4436,2,2,0.908292293548584
fold_01,1,4436,3,3,0.9251941442489624
fold_01,1,4612,1,1,0.9203286170959473
fold_01,1,4612,2,2,0.9224815964698792
fold_01,1,4612,3,3,0.9089327454566956
fold_01,1,4667,1,1,0.9437679052352905
fold_01,1,4667,2,2,0.9398244023323059
fold_01,1,4667,3,3,0.9247512817382812
fold_01,1,4690,1,1,0.8626711368560791
fold_01,1,4690,2,2,0.919764518737793
fold_01,1,4690,3,3,0.9216006398200989
fold_01,1,4768,1,1,0.9334818124771118
fold_01,1,4768,2,2,0.9402806162834167
fold_01,1,4768,3,3,0.8912878632545471
fold_01,1,4786,1,1,0.926600992679596
fold_01,1,4786,2,2,0.9235829710960388
fold_01,1,4786,3,3,0.9361368417739868
fold_01,1,4835,1,1,0.9119030833244324
fold_01,1,4835,2,2,0.9301009178161621
fold_01,1,4835,3,3,0.9177087545394897
fold_01,1,4869,1,1,0.9409574270248413
fold_01,1,4869,2,2,0.9224565029144287
fold_01,1,4869,3,3,0.9358280301094055
fold_01,1,4892,1,1,0.9513552188873291
fold_01,1,4892,2,2,0.9240097403526306
fold_01,1,4892,3,3,0.9417276382446289
fold_01,1,4930,1,1,0.9348952770233154
fold_01,1,4930,2,2,0.9225519895553589
fold_01,1,4930,3,3,0.9416701197624207
fold_01,1,5034,1,1,0.9460808634757996
fold_01,1,5034,2,2,0.923408031463623
fold_01,1,5034,3,3,0.9129699468612671
fold_01,1,5106,1,1,0.9313808083534241
fold_01,1,5106,2,2,0.9364539384841919
fold_01,1,5106,3,3,0.9313544034957886
fold_01,1,5204,1,1,0.9404166340827942
fold_01,1,5204,2,2,0.9270976185798645
fold_01,1,5204,3,3,0.9157572388648987
fold_01,1,5301,1,1,0.908620297908783
fold_01,1,5301,2,2,0.9303180575370789
fold_01,1,5301,3,3,0.9268492460250854
fold_01,1,5338,1,1,0.9286307692527771
fold_01,1,5338,2,2,0.8835810422897339
fold_01,1,5338,3,3,0.9247577786445618
fold_01,1,5459,1,1,0.916141927242279
fold_01,1,5459,2,2,0.8695663809776306
fold_01,1,5459,3,3,0.9095345735549927
fold_01,1,5542,1,1,0.9565463662147522
fold_01,1,5542,2,2,0.9373545050621033
fold_01,1,5542,3,3,0.9356573224067688
fold_01,1,5583,1,1,0.931652843952179
fold_01,1,5583,2,2,0.9330897331237793
fold_01,1,5583,3,3,0.9253057837486267
fold_01,1,5602,1,1,0.9421157240867615
fold_01,1,5602,2,2,0.9276552200317383
fold_01,1,5602,3,3,0.9276890158653259
fold_01,1,5714,1,1,0.9314990043640137
fold_01,1,5714,2,2,0.9228456020355225
fold_01,1,5714,3,3,0.942305862903595
fold_01,1,6199,1,1,0.9184382557868958
fold_01,1,6199,2,2,0.9300087094306946
fold_01,1,6199,3,3,0.9275269508361816
fold_01,1,6222,1,1,0.872929036617279
fold_01,1,6222,2,2,0.9069597721099854
fold_01,1,6222,3,3,0.8996308445930481
fold_01,1,6431,1,1,0.9514240622520447
fold_01,1,6431,2,2,0.9551385641098022
fold_01,1,6431,3,3,0.9283983707427979
fold_01,1,6444,1,1,0.9304283857345581
fold_01,1,6444,2,2,0.9364206790924072
fold_01,1,6444,3,3,0.9386839866638184
fold_01,1,6489,1,1,0.9037286639213562
fold_01,1,6489,2,2,0.9405035376548767
fold_01,1,6489,3,3,0.9126024842262268
fold_01,1,6514,1,1,0.9260525703430176
fold_01,1,6514,2,2,0.9086490273475647
fold_01,1,6514,3,3,0.9275434017181396
fold_01,1,6521,1,1,0.9400025606155396
fold_01,1,6521,2,2,0.9249695539474487
fold_01,1,6521,3,3,0.947542667388916
fold_01,1,6558,1,1,0.9277737736701965
fold_01,1,6558,2,2,0.9410054683685303
fold_01,1,6558,3,3,0.9368492364883423
fold_01,1,6801,1,1,0.9354358911514282
fold_01,1,6801,2,2,0.9378958940505981
fold_01,1,6801,3,3,0.940174400806427
fold_01,1,7007,1,1,0.9398921132087708
fold_01,1,7007,2,2,0.9255210757255554
