dataset,fold,n_test_pairs,n_candidate_images,chance_R@1,chance_R@5,chance_R@10,chance_MRR_approx
cross_subject_allfold,fold_01,4596,766,0.0013054830287206266,0.006527415143603133,0.013054830287206266,0.009424347825238488
cross_subject_allfold,fold_02,4596,766,0.0013054830287206266,0.006527415143603133,0.013054830287206266,0.009424347825238488
cross_subject_allfold,fold_03,3486,749,0.0013351134846461949,0.006675567423230975,0.01335113484646195,0.009608307151691725
cross_subject_allfold,fold_04,3090,720,0.001388888888888889,0.006944444444444444,0.013888888888888888,0.009940501611951504
cross_subject_allfold,fold_05,4596,766,0.0013054830287206266,0.006527415143603133,0.013054830287206266,0.009424347825238488
cross_subject_allfold,fold_06,3486,749,0.0013351134846461949,0.006675567423230975,0.01335113484646195,0.009608307151691725
cross_subject_allfold,fold_07,4596,766,0.0013054830287206266,0.006527415143603133,0.013054830287206266,0.009424347825238488
cross_subject_allfold,fold_08,3090,735,0.0013605442176870747,0.006802721088435374,0.013605442176870748,0.009765668410838816
heldout_image,fold_01,918,153,0.006535947712418301,0.032679738562091505,0.06535947712418301,0.03667266666850334
heldout_image,fold_04,600,144,0.006944444444444444,0.034722222222222224,0.06944444444444445,0.03854511922182929
heldout_image_random,fold_01,918,153,0.006535947712418301,0.032679738562091505,0.06535947712418301,0.03667266666850334
heldout_image_random,fold_04,600,144,0.006944444444444444,0.034722222222222224,0.06944444444444445,0.03854511922182929
hardneg_allfold,fold_01,4596,766,0.0013054830287206266,0.006527415143603133,0.013054830287206266,0.009424347825238488
hardneg_allfold,fold_02,4596,766,0.0013054830287206266,0.006527415143603133,0.013054830287206266,0.009424347825238488
hardneg_allfold,fold_03,3486,581,0.0017211703958691911,0.008605851979345954,0.01721170395869191,0.011949787883102397
hardneg_allfold,fold_04,3090,515,0.001941747572815534,0.009708737864077669,0.019417475728155338,0.013247287621656613
hardneg_allfold,fold_05,4596,766,0.0013054830287206266,0.006527415143603133,0.013054830287206266,0.009424347825238488
hardneg_allfold,fold_06,3486,581,0.0017211703958691911,0.008605851979345954,0.01721170395869191,0.011949787883102397
hardneg_allfold,fold_07,4596,766,0.0013054830287206266,0.006527415143603133,0.013054830287206266,0.009424347825238488
hardneg_allfold,fold_08,3090,515,0.001941747572815534,0.009708737864077669,0.019417475728155338,0.013247287621656613
