table,model,n,AUROC_mean,AUROC_std,AUPRC_mean,AUPRC_std,R@5_mean,R@5_std,MRR_mean,MRR_std,graph_encoder,readout,lambda_clip,image_R@5_mean,image_R@5_std,image_MRR_mean,image_MRR_std,brain_R@5_mean,brain_R@5_std,brain_MRR_mean,brain_MRR_std,lambda_cross
table_static_baselines,raw_cosine_flat,16,0.6318904610890127,0.02544524013704515,0.6294436527212072,0.02191964013919182,0.008576713778337856,0.0014727101846006856,0.011890431467956625,0.0017698289301314072,,,,,,,,,,,,
table_static_baselines,raw_pearson_flat,16,0.6356810272314725,0.028457339560264104,0.633499258474344,0.024011914933898867,0.008576713778337856,0.0014727101846006856,0.011890431467956625,0.0017698289301314072,,,,,,,,,,,,
table_static_baselines,raw_pearson_mean_beta,16,0.5867499851394578,0.02914469302725417,0.6030773494664601,0.02569718537642036,0.008576713778337856,0.0014727101846006856,0.011890431467956625,0.0017698289301314072,,,,,,,,,,,,
table_cross_subject_seed11,regraph_vlm_v0,1,0.841770823514626,,0.8255690160827676,,0.1184466019417475,,0.0908963820233652,,bnt_token_flat,flat,0.0,0.0045307443365695,,0.0099039995274779,,0.0097087378640776,,0.0119763353777946,,
table_cross_subject_seed11,regraph_vlm_v0,7,0.808892088932186,0.052137666199469655,0.7838047688961094,0.05038882692835774,0.06967084780292172,0.02282485660665267,0.05770427200212867,0.01790019190656699,bnt_token_flat,,0.0,0.007083109751589172,0.00282737671198153,0.010193031585604157,0.00201974059003829,0.007763795724678014,0.0015219724345506946,0.010229448296351,0.0014612759156283643,
table_cross_subject_seed11,regraph_vlm_v0,8,0.8242576921747753,0.05013670921204751,0.804785332931294,0.047511386641753,0.08729201760853572,0.034027560598072895,0.0677300797002335,0.02215697977296005,bnt_token_flat,,2.0,0.08081456475602014,0.03110270661685626,0.06390697143194728,0.021629148835301606,0.09799899434416484,0.032339410101724454,0.07531006471470922,0.019621726271977634,
table_cross_subject_seed11,regraph_vlm_v0,8,0.8161575546040598,0.054921619034985374,0.7898727462403792,0.056427596880438,0.07886885428242771,0.02908011896496197,0.063456842997065,0.01925338201770394,roi_mlp,,2.0,0.0716447721261699,0.02926734248302046,0.059015095972944964,0.019684325640047323,0.08142849896596992,0.03156855328355512,0.06538833651103712,0.021233816918324863,
table_gated_allfold_seed11,regraph_vlm_v0,8,0.8270017533211945,0.05326449630503597,0.8065106047001154,0.05532799670597,0.09152739485552902,0.039941659356986646,0.07012551135922375,0.02623004723014985,bnt_token_flat,gated_flat,2.0,0.086942770411704,0.036471162568268,0.0688308561015588,0.024525692021839372,0.1008987102340477,0.032910020917780926,0.07894715634981905,0.022785070009490198,0.0
table_gated_controls_graphonly,regraph_vlm_v0,6,0.8462161604846373,0.015208924653679566,0.8193016011859248,0.021324982603058863,0.09596018488005609,0.04308248073071819,0.07588494447887857,0.027617992190552415,bnt_token_flat,gated_flat,0.0,0.009520449750873784,0.0037032640670002902,0.012329495929380851,0.003603816879560092,0.008302139752873583,0.0023341257494979848,0.011813511275360384,0.002332717768841337,0.0
table_gated_controls_shuffled,regraph_vlm_v0,2,0.8447727364936536,0.021040788300015746,0.8223787938979794,0.022780651697188892,0.09789221526527919,0.04920596125344802,0.07764488598684169,0.03323390855349342,bnt_token_flat,gated_flat,2.0,0.09487904213879515,0.04248304854597674,0.0742476853941009,0.03039754868074474,0.1161926369067234,0.05170106287683938,0.0881946100698055,0.03092066146409848,0.0
