model,graph_encoder,fold,seed,lambda_clip,AUROC,AUPRC,balanced_accuracy,R@1,R@5,R@10,MRR,image_R@1,image_R@5,image_R@10,image_MRR,image_median_rank,brain_R@1,brain_R@5,brain_R@10,brain_MRR,brain_median_rank,best_val_metric,best_epoch,status,metrics_path,lambda_cross,readout,roi_id_mode,loss,clip_temperature,temperature,test_loss,n_test_pairs,n_nodes,node_feature_dim,clip_dim
regraph_vlm_v0,bnt_token_flat,fold_01,11,2.0,0.7884222743354989,0.7533355855965093,0.7204090513489991,0.0204525674499564,0.0757180156657963,0.1344647519582245,0.0635182484085347,0.0217580504786771,0.0770234986945169,0.1318537859007832,0.0641509788189556,73.0,0.0304612706701479,0.1044386422976501,0.1788511749347258,0.0827322704391809,49.5,0.7549099820906777,10,ok,/gpfsnyu/scratch/xh2906/ReGraph-VLM/preproc_v0/repetition_familiarity/results/cross_subject_hardneg_allfold_seed11/bnt_token_flat_gated_flat_clip/lambda_2/fold_01/seed_11/metrics.json,0.0,gated_flat,normal,bce_infonce_clip,0.07,0.1,0.5551844884822221,4596,180,4,512
regraph_vlm_v0,roi_mlp,fold_01,11,2.0,0.7780853067070848,0.740092829272359,0.7077893820713663,0.0182767624020887,0.0691906005221932,0.1235857267188859,0.0576661133454373,0.0143603133159268,0.0687554395126196,0.1205395996518712,0.0556914770671055,79.0,0.0230635335073977,0.0879025239338555,0.1570931244560487,0.071514133176383,57.0,0.7568513107319781,13,ok,/gpfsnyu/scratch/xh2906/ReGraph-VLM/preproc_v0/repetition_familiarity/results/cross_subject_hardneg_allfold_seed11/roi_mlp_clip/lambda_2/fold_01/seed_11/metrics.json,0.0,flat,normal,bce_infonce_clip,0.07,0.1,0.574748077581404,4596,180,4,512
regraph_vlm_v0,bnt_token_flat,fold_02,11,2.0,0.7691826850608354,0.7423668937992761,0.6971279373368147,0.016100957354221,0.0713664055700609,0.1266318537859007,0.0576917638992797,0.016100957354221,0.0735422106179286,0.1301131418624891,0.0569820802466877,78.0,0.0213228894691035,0.0913838120104438,0.1544821583986075,0.071298714042775,54.0,0.749337355075879,7,ok,/gpfsnyu/scratch/xh2906/ReGraph-VLM/preproc_v0/repetition_familiarity/results/cross_subject_hardneg_allfold_seed11/bnt_token_flat_gated_flat_clip/lambda_2/fold_02/seed_11/metrics.json,0.0,gated_flat,normal,bce_infonce_clip,0.07,0.1,0.585803001937501,4596,180,4,512
regraph_vlm_v0,roi_mlp,fold_02,11,2.0,0.7472011837591397,0.7135053190613319,0.6762402088772846,0.0147954743255004,0.0565709312445604,0.0992167101827676,0.047668694556511,0.0130548302872062,0.0474325500435161,0.0861618798955613,0.0431806167096145,108.0,0.0147954743255004,0.0761531766753698,0.1270670147954743,0.0580380386085745,73.0,0.7402008776615243,22,ok,/gpfsnyu/scratch/xh2906/ReGraph-VLM/preproc_v0/repetition_familiarity/results/cross_subject_hardneg_allfold_seed11/roi_mlp_clip/lambda_2/fold_02/seed_11/metrics.json,0.0,flat,normal,bce_infonce_clip,0.07,0.1,0.5959101895646908,4596,180,4,512
regraph_vlm_v0,bnt_token_flat,fold_03,11,2.0,0.7986158221937829,0.7752674972966113,0.725473321858864,0.036144578313253,0.1193344807802639,0.1904761904761904,0.0934370311160001,0.033849684452094,0.1285140562248996,0.1990820424555364,0.0923098084574142,46.0,0.0355708548479632,0.1313826735513482,0.2162937464142283,0.0996449319776993,42.0,0.7463128790021051,11,ok,/gpfsnyu/scratch/xh2906/ReGraph-VLM/preproc_v0/repetition_familiarity/results/cross_subject_hardneg_allfold_seed11/bnt_token_flat_gated_flat_clip/lambda_2/fold_03/seed_11/metrics.json,0.0,gated_flat,normal,bce_infonce_clip,0.07,0.1,0.542226857039276,3486,180,4,512
regraph_vlm_v0,roi_mlp,fold_03,11,2.0,0.7866239155457992,0.7543585289382175,0.7122776821572002,0.0321285140562249,0.1061388410786001,0.1698221457257601,0.0840147900975493,0.0321285140562249,0.1090074584050487,0.1749856569133677,0.0837945995492064,53.0,0.0332759609868043,0.1135972461273666,0.1876075731497418,0.0900038053640177,48.0,0.7515070013929472,24,ok,/gpfsnyu/scratch/xh2906/ReGraph-VLM/preproc_v0/repetition_familiarity/results/cross_subject_hardneg_allfold_seed11/roi_mlp_clip/lambda_2/fold_03/seed_11/metrics.json,0.0,flat,normal,bce_infonce_clip,0.07,0.1,0.552269853707093,3486,180,4,512
regraph_vlm_v0,bnt_token_flat,fold_04,11,2.0,0.8098675129083273,0.7850054435640264,0.7239482200647249,0.0427184466019417,0.1501618122977346,0.2368932038834951,0.1099624415908789,0.0394822006472491,0.1268608414239482,0.2161812297734628,0.099776734108373,45.0,0.0446601941747572,0.145631067961165,0.2394822006472491,0.1077841515001755,40.0,0.7428638158377059,8,ok,/gpfsnyu/scratch/xh2906/ReGraph-VLM/preproc_v0/repetition_familiarity/results/cross_subject_hardneg_allfold_seed11/bnt_token_flat_gated_flat_clip/lambda_2/fold_04/seed_11/metrics.json,0.0,gated_flat,normal,bce_infonce_clip,0.07,0.1,0.5436135481090607,3090,180,4,512
regraph_vlm_v0,roi_mlp,fold_04,11,2.0,0.8076124045621642,0.7758785218485159,0.7300970873786408,0.031715210355987,0.1275080906148867,0.2161812297734628,0.0944121750735267,0.0336569579288025,0.1249190938511326,0.1993527508090614,0.0940067737018585,43.0,0.0420711974110032,0.143042071197411,0.2252427184466019,0.1064954331408305,39.0,0.7480210722552131,26,ok,/gpfsnyu/scratch/xh2906/ReGraph-VLM/preproc_v0/repetition_familiarity/results/cross_subject_hardneg_allfold_seed11/roi_mlp_clip/lambda_2/fold_04/seed_11/metrics.json,0.0,flat,normal,bce_infonce_clip,0.07,0.1,0.5308692724959364,3090,180,4,512
regraph_vlm_v0,bnt_token_flat,fold_05,11,2.0,0.7983433961949733,0.7677499995005118,0.7267188859878155,0.0239338555265448,0.093124456048738,0.1662315056570931,0.0730181294155682,0.0243690165361183,0.0822454308093994,0.1514360313315927,0.0704051468678997,62.0,0.0274151436031331,0.1096605744125326,0.1871192341166231,0.085124864834888,48.5,0.7210079492255004,14,ok,/gpfsnyu/scratch/xh2906/ReGraph-VLM/preproc_v0/repetition_familiarity/results/cross_subject_hardneg_allfold_seed11/bnt_token_flat_gated_flat_clip/lambda_2/fold_05/seed_11/metrics.json,0.0,gated_flat,normal,bce_infonce_clip,0.07,0.1,0.539722414095574,4596,180,4,512
regraph_vlm_v0,roi_mlp,fold_05,11,2.0,0.8155211782145294,0.7840795263814607,0.7408616187989556,0.0269799825935596,0.1057441253263707,0.1614447345517841,0.0775727890487736,0.0221932114882506,0.0887728459530026,0.1588337684943429,0.0716211653397504,58.0,0.0308964316797214,0.1053089643167972,0.1797214969538729,0.0842199579769743,50.5,0.7218533530231146,17,ok,/gpfsnyu/scratch/xh2906/ReGraph-VLM/preproc_v0/repetition_familiarity/results/cross_subject_hardneg_allfold_seed11/roi_mlp_clip/lambda_2/fold_05/seed_11/metrics.json,0.0,flat,normal,bce_infonce_clip,0.07,0.1,0.5420992638983864,4596,180,4,512
