model,graph_encoder,fold,seed,lambda_clip,AUROC,AUPRC,balanced_accuracy,R@1,R@5,R@10,MRR,image_R@1,image_R@5,image_R@10,image_MRR,image_median_rank,brain_R@1,brain_R@5,brain_R@10,brain_MRR,brain_median_rank,best_val_metric,best_epoch,status,metrics_path,lambda_cross,readout,roi_id_mode,loss,clip_temperature,temperature,test_loss,n_test_pairs,n_nodes,node_feature_dim,clip_dim
regraph_vlm_v0,bnt_token_flat,fold_01,11,2.0,0.8416895685894789,0.8111898721611593,0.7766884531590414,0.0566448801742919,0.1873638344226579,0.2962962962962963,0.143884692797256,0.0326797385620915,0.1416122004357298,0.2483660130718954,0.1064979304271341,27.0,0.0348583877995642,0.1938997821350762,0.3137254901960784,0.1264814564078988,23.0,0.7752888888888889,6,ok,/gpfsnyu/scratch/xh2906/ReGraph-VLM/preproc_v0/repetition_familiarity/results/heldout_image/bnt_token_flat_clip/lambda_2/fold_01/seed_11/metrics.json,0.0,flat,normal,bce_infonce_clip,0.07,0.1,0.6285878880870628,918,180,4,512
regraph_vlm_v0,bnt_token_flat,fold_01,11,2.0,0.8512965098893588,0.8264490711733827,0.7657952069716776,0.0588235294117647,0.2352941176470588,0.3769063180827887,0.1668172456565239,0.0501089324618736,0.1699346405228758,0.3137254901960784,0.1317864827175822,23.0,0.0610021786492374,0.2069716775599128,0.3572984749455338,0.1510525391675585,19.0,0.7919555555555555,8,ok,/gpfsnyu/scratch/xh2906/ReGraph-VLM/preproc_v0/repetition_familiarity/results/heldout_image/bnt_token_flat_gated_flat_clip/lambda_2/fold_01/seed_11/metrics.json,0.0,gated_flat,normal,bce_infonce_clip,0.07,0.1,0.5643659556743107,918,180,4,512
regraph_vlm_v0,roi_mlp,fold_01,11,2.0,0.8386660401270166,0.7951605662439626,0.7581699346405228,0.0522875816993464,0.1830065359477124,0.3376906318082788,0.1416724440482348,0.0392156862745098,0.1612200435729847,0.2941176470588235,0.1229908981490416,24.0,0.0392156862745098,0.1830065359477124,0.2984749455337691,0.1280108351485576,21.0,0.8019555555555555,15,ok,/gpfsnyu/scratch/xh2906/ReGraph-VLM/preproc_v0/repetition_familiarity/results/heldout_image/roi_mlp_clip/lambda_2/fold_01/seed_11/metrics.json,0.0,flat,normal,bce_infonce_clip,0.07,0.1,0.5263271157777907,918,180,4,512
regraph_vlm_v0,bnt_token_flat,fold_01,22,2.0,0.8356709907395541,0.820913973434888,0.7080610021786492,0.0522875816993464,0.2047930283224401,0.3507625272331154,0.1515738780840743,0.0413943355119825,0.1568627450980392,0.2461873638344226,0.1139138715896854,27.0,0.0479302832244008,0.1546840958605664,0.3071895424836601,0.1303042441807724,22.0,0.7810222222222222,9,ok,/gpfsnyu/scratch/xh2906/ReGraph-VLM/preproc_v0/repetition_familiarity/results/heldout_image/bnt_token_flat_clip/lambda_2/fold_01/seed_22/metrics.json,0.0,flat,normal,bce_infonce_clip,0.07,0.1,0.5292915514871186,918,180,4,512
regraph_vlm_v0,bnt_token_flat,fold_01,22,2.0,0.8209568019897381,0.8093395141494476,0.7407407407407407,0.0675381263616557,0.2287581699346405,0.355119825708061,0.1591057649878599,0.0413943355119825,0.1721132897603486,0.261437908496732,0.1162033279124179,28.0,0.0305010893246187,0.1895424836601307,0.3006535947712418,0.122923075920501,21.0,0.7934666666666667,11,ok,/gpfsnyu/scratch/xh2906/ReGraph-VLM/preproc_v0/repetition_familiarity/results/heldout_image/bnt_token_flat_gated_flat_clip/lambda_2/fold_01/seed_22/metrics.json,0.0,gated_flat,normal,bce_infonce_clip,0.07,0.1,0.522101280476273,918,180,4,512
regraph_vlm_v0,roi_mlp,fold_01,22,2.0,0.8290638453396367,0.8167360191581361,0.7505446623093681,0.0522875816993464,0.2178649237472767,0.3333333333333333,0.1465738850053861,0.0392156862745098,0.1764705882352941,0.2810457516339869,0.1259887491331575,25.0,0.0413943355119825,0.1873638344226579,0.3137254901960784,0.1282663247190607,21.0,0.8019111111111111,19,ok,/gpfsnyu/scratch/xh2906/ReGraph-VLM/preproc_v0/repetition_familiarity/results/heldout_image/roi_mlp_clip/lambda_2/fold_01/seed_22/metrics.json,0.0,flat,normal,bce_infonce_clip,0.07,0.1,0.5160240833535953,918,180,4,512
regraph_vlm_v0,bnt_token_flat,fold_01,33,2.0,0.8205818275022427,0.7908847519631288,0.7429193899782135,0.0413943355119825,0.1590413943355119,0.2592592592592592,0.1228298514973442,0.0326797385620915,0.1176470588235294,0.2047930283224401,0.0986315114540746,31.0,0.0305010893246187,0.1546840958605664,0.2832244008714596,0.1104990948411233,24.0,0.7883555555555556,4,ok,/gpfsnyu/scratch/xh2906/ReGraph-VLM/preproc_v0/repetition_familiarity/results/heldout_image/bnt_token_flat_clip/lambda_2/fold_01/seed_33/metrics.json,0.0,flat,normal,bce_infonce_clip,0.07,0.1,0.7238035105931733,918,180,4,512
regraph_vlm_v0,bnt_token_flat,fold_01,33,2.0,0.8459471903019257,0.8185237596438895,0.7233115468409586,0.074074074074074,0.2352941176470588,0.3747276688453159,0.171821011539608,0.0435729847494553,0.2004357298474945,0.3028322440087146,0.1316760443275733,24.0,0.0392156862745098,0.2026143790849673,0.355119825708061,0.1365914922089741,20.0,0.7953777777777777,18,ok,/gpfsnyu/scratch/xh2906/ReGraph-VLM/preproc_v0/repetition_familiarity/results/heldout_image/bnt_token_flat_gated_flat_clip/lambda_2/fold_01/seed_33/metrics.json,0.0,gated_flat,normal,bce_infonce_clip,0.07,0.1,0.4896233438926065,918,180,4,512
regraph_vlm_v0,roi_mlp,fold_01,33,2.0,0.847442341739407,0.8058129324349051,0.7647058823529411,0.0588235294117647,0.2069716775599128,0.3594771241830065,0.1543474591866332,0.0435729847494553,0.1873638344226579,0.3050108932461873,0.1342890511277884,21.0,0.0435729847494553,0.2069716775599128,0.3311546840958606,0.1416234727333866,19.0,0.8021333333333334,16,ok,/gpfsnyu/scratch/xh2906/ReGraph-VLM/preproc_v0/repetition_familiarity/results/heldout_image/roi_mlp_clip/lambda_2/fold_01/seed_33/metrics.json,0.0,flat,normal,bce_infonce_clip,0.07,0.1,0.5090781726219036,918,180,4,512
regraph_vlm_v0,bnt_token_flat,fold_04,11,2.0,0.8564888888888889,0.8301141957722016,0.775,0.12,0.4033333333333333,0.5333333333333333,0.2563682625294864,0.07,0.2933333333333333,0.4166666666666667,0.1860306291829477,15.0,0.07,0.2833333333333333,0.43,0.1880132818817773,14.0,0.7943239795918368,8,ok,/gpfsnyu/scratch/xh2906/ReGraph-VLM/preproc_v0/repetition_familiarity/results/heldout_image/bnt_token_flat_clip/lambda_2/fold_04/seed_11/metrics.json,0.0,flat,normal,bce_infonce_clip,0.07,0.1,0.5244163489341735,600,180,4,512
