split,AUROC,AUPRC,R@1,R@5,R@10,MRR,median_rank,n_queries,n_pairs,n_positive,n_negative,fold,model
val,0.620708622657911,0.6316261418443371,0.0019417475728155,0.0097087378640776,0.0194174757281553,0.0132472876216566,258.0,1545,3090,1545,1545,fold_01,raw_pearson_flat
test,0.6614950109869634,0.6501521342612729,0.0013054830287206,0.0065274151436031,0.0130548302872062,0.0094243478252384,383.5,2298,4596,2298,2298,fold_01,raw_pearson_flat
val,0.6203808087472901,0.6297199297737509,0.0019417475728155,0.0097087378640776,0.0194174757281553,0.0132472876216566,258.0,1545,3090,1545,1545,fold_01,raw_cosine_flat
test,0.6559818353417396,0.6450187369899792,0.0013054830287206,0.0065274151436031,0.0130548302872062,0.0094243478252384,383.5,2298,4596,2298,2298,fold_01,raw_cosine_flat
val,0.5640912851771557,0.5889770378641546,0.0019417475728155,0.0097087378640776,0.0194174757281553,0.0132472876216566,258.0,1545,3090,1545,1545,fold_01,raw_pearson_mean_beta
test,0.6331183660669852,0.6435349507567167,0.0013054830287206,0.0065274151436031,0.0130548302872062,0.0094243478252384,383.5,2298,4596,2298,2298,fold_01,raw_pearson_mean_beta
val,0.6124439417266262,0.61236328516195,0.0019417475728155,0.0097087378640776,0.0194174757281553,0.0132472876216566,258.0,1545,3090,1545,1545,fold_02,raw_pearson_flat
test,0.6696718908711627,0.664747715867973,0.0013054830287206,0.0065274151436031,0.0130548302872062,0.0094243478252384,383.5,2298,4596,2298,2298,fold_02,raw_pearson_flat
val,0.6119110608393293,0.6129651824720479,0.0019417475728155,0.0097087378640776,0.0194174757281553,0.0132472876216566,258.0,1545,3090,1545,1545,fold_02,raw_cosine_flat
test,0.6601371685069167,0.6565123196252047,0.0013054830287206,0.0065274151436031,0.0130548302872062,0.0094243478252384,383.5,2298,4596,2298,2298,fold_02,raw_cosine_flat
val,0.5604947581194164,0.5825255261440372,0.0019417475728155,0.0097087378640776,0.0194174757281553,0.0132472876216566,258.0,1545,3090,1545,1545,fold_02,raw_pearson_mean_beta
test,0.6334868705598617,0.6417102497576811,0.0013054830287206,0.0065274151436031,0.0130548302872062,0.0094243478252384,383.5,2298,4596,2298,2298,fold_02,raw_pearson_mean_beta
val,0.6027666237261864,0.6049814749213029,0.0019417475728155,0.0097087378640776,0.0194174757281553,0.0132472876216566,258.0,1545,3090,1545,1545,fold_03,raw_pearson_flat
test,0.6469329494027253,0.6442007758507107,0.0017211703958691,0.0086058519793459,0.0172117039586919,0.0119497878831023,291.0,1743,3486,1743,1743,fold_03,raw_pearson_flat
val,0.6011302772279301,0.601572610801463,0.0019417475728155,0.0097087378640776,0.0194174757281553,0.0132472876216566,258.0,1545,3090,1545,1545,fold_03,raw_cosine_flat
test,0.644506556675024,0.6424115653408607,0.0017211703958691,0.0086058519793459,0.0172117039586919,0.0119497878831023,291.0,1743,3486,1743,1743,fold_03,raw_cosine_flat
val,0.5574889244980676,0.5751545185629859,0.0019417475728155,0.0097087378640776,0.0194174757281553,0.0132472876216566,258.0,1545,3090,1545,1545,fold_03,raw_pearson_mean_beta
test,0.5990518915264369,0.6029244738581776,0.0017211703958691,0.0086058519793459,0.0172117039586919,0.0119497878831023,291.0,1743,3486,1743,1743,fold_03,raw_pearson_mean_beta
val,0.6049819335784082,0.6114282922334043,0.0019417475728155,0.0097087378640776,0.0194174757281553,0.0132472876216566,258.0,1545,3090,1545,1545,fold_04,raw_pearson_flat
test,0.6919364061959971,0.6889791936901025,0.0019417475728155,0.0097087378640776,0.0194174757281553,0.0132472876216566,258.0,1545,3090,1545,1545,fold_04,raw_pearson_flat
val,0.6045722185565715,0.6079134490198914,0.0019417475728155,0.0097087378640776,0.0194174757281553,0.0132472876216566,258.0,1545,3090,1545,1545,fold_04,raw_cosine_flat
test,0.6851082414302322,0.6823421394584691,0.0019417475728155,0.0097087378640776,0.0194174757281553,0.0132472876216566,258.0,1545,3090,1545,1545,fold_04,raw_cosine_flat
val,0.5616742598003791,0.5807209725398926,0.0019417475728155,0.0097087378640776,0.0194174757281553,0.0132472876216566,258.0,1545,3090,1545,1545,fold_04,raw_pearson_mean_beta
test,0.6195953121563452,0.6414486727621089,0.0019417475728155,0.0097087378640776,0.0194174757281553,0.0132472876216566,258.0,1545,3090,1545,1545,fold_04,raw_pearson_mean_beta
val,0.6217153150888658,0.6218029184228135,0.0019417475728155,0.0097087378640776,0.0194174757281553,0.0132472876216566,258.0,1545,3090,1545,1545,fold_05,raw_pearson_flat
test,0.6824190028639578,0.6636523944440905,0.0013054830287206,0.0065274151436031,0.0130548302872062,0.0094243478252384,383.5,2298,4596,2298,2298,fold_05,raw_pearson_flat
val,0.6208219436327647,0.6212704959100762,0.0019417475728155,0.0097087378640776,0.0194174757281553,0.0132472876216566,258.0,1545,3090,1545,1545,fold_05,raw_cosine_flat
test,0.6685049284162032,0.6511631766987785,0.0013054830287206,0.0065274151436031,0.0130548302872062,0.0094243478252384,383.5,2298,4596,2298,2298,fold_05,raw_cosine_flat
val,0.5667544328190949,0.5953286382734073,0.0019417475728155,0.0097087378640776,0.0194174757281553,0.0132472876216566,258.0,1545,3090,1545,1545,fold_05,raw_pearson_mean_beta
test,0.6323663972379964,0.6480795907831415,0.0013054830287206,0.0065274151436031,0.0130548302872062,0.0094243478252384,383.5,2298,4596,2298,2298,fold_05,raw_pearson_mean_beta
val,0.6008502215100386,0.6053463199881678,0.0019417475728155,0.0097087378640776,0.0194174757281553,0.0132472876216566,258.0,1545,3090,1545,1545,fold_06,raw_pearson_flat
test,0.6485584992210461,0.6416632367572961,0.0017211703958691,0.0086058519793459,0.0172117039586919,0.0119497878831023,291.0,1743,3486,1743,1743,fold_06,raw_pearson_flat
val,0.59961311674574,0.6042019725199735,0.0019417475728155,0.0097087378640776,0.0194174757281553,0.0132472876216566,258.0,1545,3090,1545,1545,fold_06,raw_cosine_flat
test,0.6456125296201608,0.6364906051220774,0.0017211703958691,0.0086058519793459,0.0172117039586919,0.0119497878831023,291.0,1743,3486,1743,1743,fold_06,raw_cosine_flat
val,0.5603104282527414,0.5779837727880389,0.0019417475728155,0.0097087378640776,0.0194174757281553,0.0132472876216566,258.0,1545,3090,1545,1545,fold_06,raw_pearson_mean_beta
test,0.6013230859673429,0.6006379645138471,0.0017211703958691,0.0086058519793459,0.0172117039586919,0.0119497878831023,291.0,1743,3486,1743,1743,fold_06,raw_pearson_mean_beta
val,0.6300677621725789,0.6272797543853219,0.0019417475728155,0.0097087378640776,0.0194174757281553,0.0132472876216566,258.0,1545,3090,1545,1545,fold_07,raw_pearson_flat
test,0.6296420961656596,0.6321481818462263,0.0013054830287206,0.0065274151436031,0.0130548302872062,0.0094243478252384,383.5,2298,4596,2298,2298,fold_07,raw_pearson_flat
